# Logisim PLA program table
00000000 00000000001111 # NOP
00000001 10000000000000 # RST
00000010 01000000000000 # OFF
00000100 00000000010000 # MOV_V
00000101 00000011000001 # CMP_RR
00000110 00000011100001 # CMP_VR
00000111 00000011010001 # CMP_RV
00001000 00000011110001 # CMP_VV
00010000 00000000000000 # ADD_RR
00010001 00000000001000 # ADC_RR
00010010 00000000000001 # SUB_RR
00010011 00000000001001 # SBB_RR
00010100 00000000000010 # MUL_RR
00010101 00000000000011 # DIV_RR
00010110 00000000000100 # MOD_RR
00010111 00000000000101 # AND_RR
00011000 00000000000110 # OR_RR
00011001 00000000000111 # XOR_RR
00100000 00000000010000 # ADD_VR
00100001 00000000011000 # ADC_VR
00100010 00000000010001 # SUB_VR
00100011 00000000011001 # SBB_VR
00100100 00000000010010 # MUL_VR
00100101 00000000010011 # DIV_VR
00100110 00000000010100 # MOD_VR
00100111 00000000010101 # AND_VR
00101000 00000000010110 # OR_VR
00101001 00000000010111 # XOR_VR
00110000 00000000100000 # ADD_RV
00110001 00000000101000 # ADC_RV
00110010 00000000100001 # SUB_RV
00110011 00000000101001 # SBB_RV
00110100 00000000100010 # MUL_RV
00110101 00000000100011 # DIV_RV
00110110 00000000100100 # MOD_RV
00110111 00000000100101 # AND_RV
00111000 00000000100110 # OR_RV
00111001 00000000100111 # XOR_RV
01000000 00000000110000 # ADD_VV
01000001 00000000111000 # ADC_VV
01000010 00000000110001 # SUB_VV
01000011 00000000111001 # SBB_VV
01000100 00000000110010 # MUL_VV
01000101 00000000110011 # DIV_VV
01000110 00000000110100 # MOD_VV
01000111 00000000110101 # AND_VV
01001000 00000000110110 # OR_VV
01001001 00000000110111 # XOR_VV
01010000 00000101001111 # JMP_RR
01010001 00000101011111 # JMP_VR
01010010 00000101101111 # JMP_RV
01010011 00000101111111 # JMP_VV
01010100 00011010001111 # GET_RR
01010101 00011010101111 # GET_VR
01010110 00011010011111 # GET_RV
01010111 00011010111111 # GET_VV
01011000 00101010001111 # SET_RRR
01011001 00101010101111 # SET_RVR
01011010 00101010011111 # SET_RRV
01011011 00101010111111 # SET_RVV
01011100 00101001001111 # SET_VRR
01011101 00101001101111 # SET_VVR
01011110 00101001011111 # SET_VRV
01011111 00101001111111 # SET_VVV
